ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
3515103;2010;3;1;4;341;98,8;0;1,2;AI
3515103;2010;4;1;4;62;100;0;0;AI
3515103;2010;5;1;4;1119;99,5;0,1;0,4;AI
3515103;2010;0;1;4;1181;99,6;0,1;0,3;AI
3515103;2010;3;2;4;10;100;0;0;AI
3515103;2010;4;2;4;116;89,5;10,5;0;AI
3515103;2010;5;2;4;10;100;0;0;AI
3515103;2010;0;2;4;126;90,5;9,5;0;AI
3515103;2010;2;0;3;698;99,7;0,3;0;AI
3515103;2010;3;0;3;414;92,4;7,4;0,2;AI
3515103;2010;4;0;3;150;96,6;3,4;0;AI
3515103;2010;5;0;3;1112;96,9;3;0,1;AI
3515103;2010;0;0;3;1262;96,9;3;0,1;AI
3515103;2010;2;0;5;853;98,2;1,8;0;AI
3515103;2010;3;0;5;436;95,1;4,4;0,5;AI
3515103;2010;4;0;5;144;100;0;0;AI
3515103;2010;5;0;5;1289;97,1;2,7;0,2;AI
3515103;2010;0;0;5;1433;97,4;2,4;0,2;AI
3515103;2010;2;1;5;853;98,2;1,8;0;AI
3515103;2010;3;1;5;430;95;4,5;0,5;AI
3515103;2010;4;1;5;61;100;0;0;AI
3515103;2010;5;1;5;1283;97,1;2,7;0,2;AI
3515103;2010;0;1;5;1344;97,3;2,6;0,1;AI
3515103;2010;3;2;5;6;100;0;0;AI
3515103;2010;4;2;5;83;100;0;0;AI
3515103;2010;5;2;5;6;100;0;0;AI
3515103;2010;0;2;5;89;100;0;0;AI
3515103;2010;2;0;12;887;92,7;5,2;2,1;EM
3515103;2010;3;0;12;0;0;0;0;EM
3515103;2010;4;0;12;69;100;0;0;EM
3515103;2010;5;0;12;887;92,7;5,2;2,1;EM
3515103;2010;0;0;12;956;93,2;4,8;2;EM
3515103;2010;2;1;12;887;92,7;5,2;2,1;EM
3515103;2010;3;1;12;0;0;0;0;EM
3515103;2010;4;1;12;69;100;0;0;EM
3515103;2010;5;1;12;887;92,7;5,2;2,1;EM
