Ano;NOME;Métrica;Valor
2020;ALUNO-11;FASE_TURMA;0A
2020;ALUNO-11;PONTO_VIRADA;Sim
2020;ALUNO-11;INDE;9.712504000000001
2020;ALUNO-11;INDE_CONCEITO;A
2020;ALUNO-11;PEDRA;Topázio
2020;ALUNO-11;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-11;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-11;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-11;IAA;9.000020000000001
2020;ALUNO-11;IEG;10
2020;ALUNO-11;IPS;8.125
2020;ALUNO-11;IDA;10
2020;ALUNO-11;IPP;10
2020;ALUNO-11;IPV;10.00001
2020;ALUNO-11;IAN;10
2020;ALUNO-11;FASE_2021;1.0
2020;ALUNO-12;INSTITUICAO_ENSINO_ALUNO;Rede Decisão/União
2020;ALUNO-12;IDADE_ALUNO;14
2020;ALUNO-12;ANOS_PM;3
2020;ALUNO-12;FASE_TURMA;3G
2020;ALUNO-12;PONTO_VIRADA;Não
2020;ALUNO-12;INDE;5.838887333333334
2020;ALUNO-12;INDE_CONCEITO;D
2020;ALUNO-12;PEDRA;Quartzo
2020;ALUNO-12;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-12;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-12;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-12;IAA;6.25
2020;ALUNO-12;IEG;6
2020;ALUNO-12;IPS;5.625
2020;ALUNO-12;IDA;6.666666666666667
2020;ALUNO-12;IPP;5.624999999999999
2020;ALUNO-12;IPV;5.277770000000001
2020;ALUNO-12;IAN;5
2020;ALUNO-13;FASE_2021;0.0
2020;ALUNO-14;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-14;IDADE_ALUNO;11
2020;ALUNO-14;ANOS_PM;2
2020;ALUNO-14;FASE_TURMA;2M
2020;ALUNO-14;PONTO_VIRADA;Não
2020;ALUNO-14;INDE;6.434585
2020;ALUNO-14;INDE_CONCEITO;C
2020;ALUNO-14;PEDRA;Ágata
2020;ALUNO-14;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-14;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-14;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-14;IAA;8.000020000000001
2020;ALUNO-14;IEG;7.6
2020;ALUNO-14;IPS;6.875
2020;ALUNO-14;IDA;0
2020;ALUNO-14;IPP;8.4375
2020;ALUNO-14;IPV;7.916665
2020;ALUNO-14;IAN;10
2020;ALUNO-15;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-15;IDADE_ALUNO;12
2020;ALUNO-15;ANOS_PM;1
2020;ALUNO-15;FASE_TURMA;2D
2020;ALUNO-15;PONTO_VIRADA;Não
2020;ALUNO-15;INDE;5.162502
2020;ALUNO-15;INDE_CONCEITO;D
2020;ALUNO-15;PEDRA;Quartzo
2020;ALUNO-15;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-15;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-15;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-15;IAA;8.500020000000001
2020;ALUNO-15;IEG;4
2020;ALUNO-15;IPS;7.5
2020;ALUNO-15;IDA;0
2020;ALUNO-15;IPP;8.125
2020;ALUNO-15;IPV;7.25
2020;ALUNO-15;IAN;5
2020;ALUNO-17;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-17;IDADE_ALUNO;13
2020;ALUNO-17;ANOS_PM;2
2020;ALUNO-17;FASE_TURMA;1G
2020;ALUNO-17;PONTO_VIRADA;Não
2020;ALUNO-17;INDE;7.766252
2020;ALUNO-17;INDE_CONCEITO;B
2020;ALUNO-17;PEDRA;Ametista
2020;ALUNO-17;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
